epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1320.79,2.28202,4.16881,2.41906,0.17833,0.1681,0.1013,0.03693,2.2378,3.67929,2.4764,0.0670075,0.000333258,0.000333258
2,2624.05,2.13369,3.21208,2.3186,0.20608,0.21047,0.12447,0.04567,2.17858,3.16495,2.44019,0.0340009,0.000659992,0.000659992
3,4016.81,2.06768,3.09573,2.24295,0.29914,0.24835,0.19394,0.07738,2.04735,2.83139,2.27241,0.000987705,0.000980126,0.000980126
4,6442.19,1.99674,3.01977,2.1743,0.32833,0.27374,0.22603,0.09304,1.97387,2.68209,2.21977,0.0009703,0.0009703,0.0009703
5,8041.64,1.95222,2.88401,2.10722,0.35051,0.30132,0.25252,0.10603,1.94554,2.60547,2.14708,0.0009604,0.0009604,0.0009604
6,9830.48,1.91439,2.7673,2.07812,0.37302,0.33269,0.28406,0.12159,1.9072,2.51098,2.11792,0.0009505,0.0009505,0.0009505
7,12020.7,1.88852,2.69801,2.04498,0.3944,0.34426,0.30587,0.13351,1.9024,2.47331,2.10404,0.0009406,0.0009406,0.0009406
8,14514.3,1.87558,2.61915,2.0339,0.41219,0.35312,0.31348,0.13625,1.88918,2.45353,2.0833,0.0009307,0.0009307,0.0009307
9,17064.2,1.83735,2.5454,1.99423,0.43539,0.37944,0.34588,0.15338,1.86704,2.37749,2.05725,0.0009208,0.0009208,0.0009208
10,19571.1,1.82898,2.50422,1.98177,0.4382,0.38673,0.35907,0.16029,1.8551,2.31763,2.03443,0.0009109,0.0009109,0.0009109
11,22041.4,1.81229,2.43301,1.95101,0.45926,0.39997,0.37814,0.16914,1.8361,2.25574,1.99643,0.000901,0.000901,0.000901
12,24570.2,1.7962,2.40411,1.93519,0.47292,0.40446,0.3886,0.17667,1.81211,2.20653,1.9865,0.0008911,0.0008911,0.0008911
13,27077.4,1.78168,2.36385,1.93728,0.4873,0.41359,0.40036,0.18374,1.82399,2.18628,1.98763,0.0008812,0.0008812,0.0008812
14,29636.3,1.77683,2.33125,1.91906,0.49052,0.42162,0.40968,0.19027,1.80364,2.16599,1.97591,0.0008713,0.0008713,0.0008713
15,32160.1,1.76076,2.27623,1.91519,0.49212,0.43408,0.41666,0.1913,1.79938,2.11025,1.96233,0.0008614,0.0008614,0.0008614
16,34636.7,1.7457,2.23119,1.8948,0.5017,0.43176,0.42269,0.19809,1.78058,2.08108,1.94958,0.0008515,0.0008515,0.0008515
17,36740.6,1.73985,2.20536,1.88908,0.49455,0.43961,0.42868,0.20003,1.76814,2.06495,1.93187,0.0008416,0.0008416,0.0008416
18,39274.9,1.72867,2.18378,1.87165,0.50115,0.44604,0.43011,0.20164,1.75877,2.04146,1.91336,0.0008317,0.0008317,0.0008317
19,41788.2,1.72491,2.13755,1.86323,0.4998,0.44833,0.43665,0.20664,1.7453,2.01283,1.90389,0.0008218,0.0008218,0.0008218
20,44311.7,1.70424,2.11797,1.85039,0.49801,0.4561,0.44259,0.20906,1.74607,2.01083,1.90461,0.0008119,0.0008119,0.0008119
21,46861.5,1.70111,2.08662,1.84653,0.51235,0.4543,0.44533,0.21167,1.74344,1.98138,1.89277,0.000802,0.000802,0.000802
22,49186.2,1.69227,2.0545,1.83848,0.50218,0.46656,0.45137,0.21595,1.73597,1.94992,1.88616,0.0007921,0.0007921,0.0007921
23,51558.5,1.68914,2.03031,1.83446,0.51798,0.45845,0.45508,0.21887,1.72911,1.94526,1.88127,0.0007822,0.0007822,0.0007822
24,54082.3,1.67628,2.00088,1.8242,0.52296,0.45792,0.4592,0.22061,1.72412,1.92737,1.87618,0.0007723,0.0007723,0.0007723
25,56417.7,1.67735,1.99193,1.81584,0.52257,0.4678,0.46311,0.22089,1.72563,1.91176,1.86848,0.0007624,0.0007624,0.0007624
26,58892,1.6604,1.95456,1.80356,0.5258,0.46654,0.46637,0.22236,1.7238,1.89658,1.86489,0.0007525,0.0007525,0.0007525
27,61210,1.65551,1.94976,1.79847,0.52598,0.46439,0.46678,0.22286,1.71914,1.89318,1.8603,0.0007426,0.0007426,0.0007426
28,63533.3,1.64341,1.9171,1.78629,0.53195,0.46786,0.47166,0.22498,1.7214,1.87776,1.8615,0.0007327,0.0007327,0.0007327
29,66081.5,1.64503,1.90571,1.78456,0.53276,0.47471,0.47485,0.22657,1.71577,1.86052,1.85686,0.0007228,0.0007228,0.0007228
30,68604.3,1.63527,1.87722,1.78097,0.53295,0.47573,0.47387,0.22677,1.71378,1.86331,1.85401,0.0007129,0.0007129,0.0007129
31,71165.8,1.62557,1.85603,1.76743,0.53411,0.48044,0.47889,0.22896,1.71259,1.85569,1.85243,0.000703,0.000703,0.000703
32,73667.6,1.6246,1.83206,1.76093,0.53813,0.48187,0.48117,0.23065,1.71039,1.84844,1.84756,0.0006931,0.0006931,0.0006931
33,76171.1,1.61381,1.81269,1.75225,0.53555,0.4879,0.48416,0.2327,1.70932,1.83826,1.84461,0.0006832,0.0006832,0.0006832
34,78709.6,1.60518,1.80368,1.74561,0.53929,0.48875,0.48641,0.23368,1.70697,1.82794,1.84066,0.0006733,0.0006733,0.0006733
35,80976.1,1.60303,1.79121,1.74462,0.54033,0.48991,0.48849,0.23485,1.7059,1.82351,1.8394,0.0006634,0.0006634,0.0006634
36,83405,1.59275,1.77124,1.74106,0.54509,0.4886,0.48962,0.23559,1.70496,1.81901,1.83894,0.0006535,0.0006535,0.0006535
37,85056.6,1.58356,1.75658,1.73121,0.54138,0.49437,0.49071,0.23666,1.70441,1.81473,1.83803,0.0006436,0.0006436,0.0006436
38,86679.2,1.58343,1.73699,1.73457,0.5425,0.49369,0.49172,0.23706,1.70424,1.81069,1.83753,0.0006337,0.0006337,0.0006337
39,88479.4,1.57035,1.71177,1.72069,0.54529,0.49285,0.49312,0.23748,1.7048,1.80617,1.83792,0.0006238,0.0006238,0.0006238
40,90739.5,1.56876,1.69872,1.71291,0.5471,0.49316,0.49412,0.23806,1.70444,1.80343,1.83712,0.0006139,0.0006139,0.0006139
41,93173,1.56592,1.688,1.71269,0.54851,0.4964,0.49554,0.23858,1.70499,1.80053,1.83695,0.000604,0.000604,0.000604
42,95641.1,1.55522,1.66327,1.70407,0.54837,0.49708,0.49617,0.23912,1.7057,1.79759,1.83658,0.0005941,0.0005941,0.0005941
43,98111.3,1.54891,1.64624,1.69906,0.54515,0.49764,0.49756,0.24023,1.70599,1.79468,1.83655,0.0005842,0.0005842,0.0005842
44,100510,1.54428,1.63143,1.69304,0.54903,0.49674,0.4987,0.24064,1.70637,1.79335,1.83691,0.0005743,0.0005743,0.0005743
45,102957,1.54449,1.62589,1.68579,0.55313,0.49617,0.50039,0.24168,1.70734,1.7909,1.83778,0.0005644,0.0005644,0.0005644
46,105349,1.53016,1.60881,1.67498,0.54995,0.49872,0.50166,0.24246,1.70776,1.78731,1.8375,0.0005545,0.0005545,0.0005545
47,107759,1.52711,1.59857,1.67631,0.55164,0.50182,0.50327,0.243,1.70811,1.7843,1.83749,0.0005446,0.0005446,0.0005446
48,110158,1.51996,1.5707,1.67112,0.55302,0.50298,0.50512,0.24414,1.70809,1.78201,1.83736,0.0005347,0.0005347,0.0005347
49,112456,1.52411,1.56803,1.67423,0.55518,0.50275,0.50574,0.2446,1.70888,1.77904,1.83739,0.0005248,0.0005248,0.0005248
50,114844,1.50633,1.54556,1.65753,0.55261,0.50731,0.50719,0.24561,1.70906,1.77666,1.83688,0.0005149,0.0005149,0.0005149
51,117321,1.50533,1.53808,1.65484,0.55758,0.50345,0.50787,0.24607,1.70969,1.77376,1.83696,0.000505,0.000505,0.000505
52,119799,1.49725,1.51469,1.64595,0.56006,0.5043,0.50966,0.24726,1.70981,1.77126,1.83766,0.0004951,0.0004951,0.0004951
53,122255,1.4886,1.50469,1.63914,0.56249,0.50204,0.51025,0.2479,1.71019,1.76971,1.83762,0.0004852,0.0004852,0.0004852
54,124106,1.49183,1.48756,1.63851,0.5624,0.50347,0.51148,0.24858,1.71128,1.7675,1.83786,0.0004753,0.0004753,0.0004753
55,125377,1.48644,1.48509,1.63261,0.56254,0.50539,0.51256,0.24887,1.71159,1.76514,1.83767,0.0004654,0.0004654,0.0004654
56,127615,1.47795,1.47018,1.63359,0.56409,0.50502,0.51354,0.2494,1.71197,1.76233,1.83779,0.0004555,0.0004555,0.0004555
57,130075,1.471,1.45559,1.62066,0.56544,0.50357,0.51477,0.25018,1.7124,1.75979,1.83785,0.0004456,0.0004456,0.0004456
58,132487,1.46734,1.43893,1.61638,0.5667,0.50548,0.51546,0.25067,1.71343,1.75684,1.83821,0.0004357,0.0004357,0.0004357
59,134986,1.46544,1.43599,1.61089,0.56639,0.50683,0.51642,0.25115,1.71379,1.75389,1.83844,0.0004258,0.0004258,0.0004258
60,137509,1.45218,1.4229,1.60545,0.56677,0.5046,0.51671,0.25151,1.71434,1.75146,1.83865,0.0004159,0.0004159,0.0004159
61,140077,1.45206,1.41183,1.602,0.56645,0.50675,0.518,0.2523,1.71522,1.74967,1.83894,0.000406,0.000406,0.000406
62,142463,1.44276,1.40202,1.59605,0.56741,0.50801,0.51891,0.2529,1.71629,1.74758,1.83905,0.0003961,0.0003961,0.0003961
63,144561,1.4454,1.39876,1.59274,0.56999,0.50559,0.51939,0.25338,1.71713,1.74542,1.83945,0.0003862,0.0003862,0.0003862
64,147116,1.43377,1.36507,1.59008,0.57534,0.50539,0.52018,0.2542,1.71799,1.74385,1.84001,0.0003763,0.0003763,0.0003763
65,149514,1.43034,1.36196,1.58399,0.57468,0.50529,0.5211,0.25475,1.72025,1.74265,1.84154,0.0003664,0.0003664,0.0003664
66,152023,1.42448,1.35719,1.57714,0.5738,0.50674,0.5224,0.25525,1.72087,1.74163,1.84207,0.0003565,0.0003565,0.0003565
67,154582,1.42042,1.3483,1.57676,0.57316,0.5074,0.52274,0.25575,1.72187,1.74008,1.84275,0.0003466,0.0003466,0.0003466
68,156813,1.41411,1.33863,1.57435,0.57059,0.51111,0.52357,0.25639,1.72339,1.73927,1.84372,0.0003367,0.0003367,0.0003367
69,159161,1.40288,1.32767,1.56448,0.56904,0.51265,0.52455,0.25644,1.72449,1.73722,1.84498,0.0003268,0.0003268,0.0003268
70,161562,1.39582,1.31276,1.55887,0.56685,0.51585,0.52566,0.25701,1.72518,1.73563,1.84636,0.0003169,0.0003169,0.0003169
71,163984,1.39927,1.31117,1.55415,0.56732,0.5153,0.5254,0.2574,1.72647,1.73338,1.84754,0.000307,0.000307,0.000307
72,166443,1.39219,1.3018,1.54972,0.56911,0.51553,0.52596,0.25774,1.7273,1.73182,1.84805,0.0002971,0.0002971,0.0002971
73,168566,1.38709,1.28248,1.54547,0.56628,0.5195,0.52676,0.25815,1.72886,1.72959,1.8497,0.0002872,0.0002872,0.0002872
74,170976,1.37452,1.27561,1.53739,0.5689,0.51892,0.52767,0.25851,1.72988,1.72659,1.85103,0.0002773,0.0002773,0.0002773
75,172848,1.37297,1.25836,1.53126,0.57589,0.51521,0.52761,0.25861,1.7317,1.7254,1.85235,0.0002674,0.0002674,0.0002674
76,175260,1.37057,1.2547,1.52915,0.57486,0.51728,0.5285,0.2593,1.73244,1.72384,1.85353,0.0002575,0.0002575,0.0002575
77,177558,1.36769,1.25016,1.52718,0.57604,0.51751,0.52942,0.25953,1.73357,1.72302,1.85499,0.0002476,0.0002476,0.0002476
78,180009,1.35811,1.24048,1.52052,0.57385,0.5187,0.52952,0.2598,1.73451,1.72088,1.85545,0.0002377,0.0002377,0.0002377
79,182375,1.35889,1.23012,1.51913,0.57488,0.51903,0.52986,0.25989,1.73559,1.72018,1.85687,0.0002278,0.0002278,0.0002278
80,184849,1.3502,1.22562,1.51022,0.57759,0.51794,0.5306,0.26017,1.73674,1.71824,1.85786,0.0002179,0.0002179,0.0002179
81,187322,1.34824,1.22174,1.51251,0.58061,0.51689,0.53118,0.26036,1.73781,1.71813,1.85881,0.000208,0.000208,0.000208
82,189729,1.3347,1.20151,1.50193,0.58122,0.51854,0.53118,0.26025,1.73945,1.71704,1.86041,0.0001981,0.0001981,0.0001981
83,192139,1.34238,1.20148,1.50385,0.58034,0.52067,0.532,0.26029,1.74112,1.71655,1.86224,0.0001882,0.0001882,0.0001882
84,194592,1.32938,1.19003,1.49492,0.58206,0.51977,0.5321,0.26065,1.74277,1.7169,1.86421,0.0001783,0.0001783,0.0001783
85,197000,1.32374,1.17796,1.49165,0.58156,0.51993,0.5325,0.26093,1.74405,1.71753,1.8664,0.0001684,0.0001684,0.0001684
86,199324,1.32252,1.18003,1.48713,0.58345,0.52055,0.53349,0.26109,1.74599,1.71747,1.86819,0.0001585,0.0001585,0.0001585
87,201875,1.32267,1.17407,1.48492,0.58504,0.51989,0.53349,0.26105,1.74846,1.71708,1.87105,0.0001486,0.0001486,0.0001486
88,204423,1.31167,1.1606,1.47897,0.58532,0.51996,0.53371,0.26112,1.75042,1.71835,1.87329,0.0001387,0.0001387,0.0001387
89,206925,1.31395,1.15717,1.48168,0.58912,0.5187,0.53369,0.26119,1.75179,1.71924,1.87543,0.0001288,0.0001288,0.0001288
90,209257,1.30669,1.14404,1.47473,0.58846,0.51928,0.53326,0.26148,1.75369,1.71962,1.8774,0.0001189,0.0001189,0.0001189
91,211738,1.30641,1.14858,1.47802,0.5897,0.51816,0.53361,0.2614,1.75537,1.7205,1.87962,0.000109,0.000109,0.000109
92,214156,1.3012,1.13852,1.47048,0.58921,0.52124,0.53403,0.26125,1.758,1.72188,1.88336,9.91e-05,9.91e-05,9.91e-05
93,216616,1.29311,1.13003,1.46736,0.59012,0.52075,0.53442,0.26105,1.76082,1.72268,1.88632,8.92e-05,8.92e-05,8.92e-05
94,219026,1.28739,1.12812,1.46042,0.59012,0.52085,0.53439,0.26097,1.76214,1.72427,1.88805,7.93e-05,7.93e-05,7.93e-05
95,221385,1.28388,1.11746,1.46263,0.59389,0.51852,0.53399,0.26076,1.7639,1.7245,1.89062,6.94e-05,6.94e-05,6.94e-05
96,223524,1.28346,1.1213,1.46041,0.59559,0.51603,0.53406,0.2608,1.76601,1.72581,1.89351,5.95e-05,5.95e-05,5.95e-05
97,225949,1.28188,1.11103,1.4588,0.59644,0.51422,0.5338,0.26067,1.76811,1.72719,1.89618,4.96e-05,4.96e-05,4.96e-05
98,228421,1.27842,1.1057,1.45247,0.59494,0.51605,0.53399,0.26062,1.76906,1.72962,1.89812,3.97e-05,3.97e-05,3.97e-05
99,230799,1.27693,1.1013,1.45336,0.59947,0.51343,0.53402,0.26067,1.77096,1.73101,1.90038,2.98e-05,2.98e-05,2.98e-05
100,233027,1.27128,1.09212,1.44903,0.6,0.5116,0.5335,0.26027,1.77258,1.73303,1.90284,1.99e-05,1.99e-05,1.99e-05
